2025-09-10 00:00:16: (server.c.1230) [note] graceful shutdown started
2025-09-10 00:00:16: (server.c.2350) server stopped by UID = 0 PID = 853759
received HUP, spawning a new worker
starting new worker 853765
[INFO] raised RLIMIT_NOFILE to 65536
h2o server (pid:853765) is ready to serve requests
:::Apache2 Wed Sep 10 12:06:53 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:06:56 AM EDT 2025:::
:::h2o Wed Sep 10 12:06:59 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:07:03 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:07:06 AM EDT 2025:::
:::h2o Wed Sep 10 12:07:09 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:07:12 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:07:15 AM EDT 2025:::
:::h2o Wed Sep 10 12:07:18 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:07:21 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:07:24 AM EDT 2025:::
:::h2o Wed Sep 10 12:07:27 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:07:30 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:07:33 AM EDT 2025:::
:::h2o Wed Sep 10 12:07:36 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:07:39 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:07:42 AM EDT 2025:::
:::h2o Wed Sep 10 12:07:45 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:07:48 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:07:51 AM EDT 2025:::
:::h2o Wed Sep 10 12:07:54 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:07:57 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:08:00 AM EDT 2025:::
:::h2o Wed Sep 10 12:08:03 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:08:06 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:08:09 AM EDT 2025:::
:::h2o Wed Sep 10 12:08:12 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:08:16 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:08:19 AM EDT 2025:::
:::h2o Wed Sep 10 12:08:22 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:08:25 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:08:28 AM EDT 2025:::
:::h2o Wed Sep 10 12:08:31 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:08:34 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:08:37 AM EDT 2025:::
:::h2o Wed Sep 10 12:08:40 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:08:43 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:08:46 AM EDT 2025:::
:::h2o Wed Sep 10 12:08:49 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:08:52 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:08:55 AM EDT 2025:::
:::h2o Wed Sep 10 12:08:58 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:09:01 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:09:04 AM EDT 2025:::
:::h2o Wed Sep 10 12:09:07 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:09:10 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:09:13 AM EDT 2025:::
:::h2o Wed Sep 10 12:09:16 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:09:19 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:09:22 AM EDT 2025:::
:::h2o Wed Sep 10 12:09:25 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:09:29 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:09:32 AM EDT 2025:::
:::h2o Wed Sep 10 12:09:35 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:09:38 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:09:41 AM EDT 2025:::
:::h2o Wed Sep 10 12:09:44 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:09:47 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:09:50 AM EDT 2025:::
:::h2o Wed Sep 10 12:09:53 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:09:56 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:09:59 AM EDT 2025:::
:::h2o Wed Sep 10 12:10:02 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:10:05 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:10:08 AM EDT 2025:::
:::h2o Wed Sep 10 12:10:11 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:10:14 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:10:17 AM EDT 2025:::
:::h2o Wed Sep 10 12:10:20 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:10:23 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:10:26 AM EDT 2025:::
:::h2o Wed Sep 10 12:10:29 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:10:32 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:10:35 AM EDT 2025:::
:::h2o Wed Sep 10 12:10:38 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:10:42 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:10:45 AM EDT 2025:::
:::h2o Wed Sep 10 12:10:48 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:10:51 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:10:54 AM EDT 2025:::
:::h2o Wed Sep 10 12:10:57 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:11:00 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:11:03 AM EDT 2025:::
:::h2o Wed Sep 10 12:11:06 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:11:09 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:11:12 AM EDT 2025:::
:::h2o Wed Sep 10 12:11:15 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:11:18 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:11:21 AM EDT 2025:::
:::h2o Wed Sep 10 12:11:24 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:11:27 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:11:30 AM EDT 2025:::
:::h2o Wed Sep 10 12:11:33 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:11:36 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:11:39 AM EDT 2025:::
:::h2o Wed Sep 10 12:11:42 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:11:45 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:11:48 AM EDT 2025:::
:::h2o Wed Sep 10 12:11:52 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:11:55 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:11:58 AM EDT 2025:::
:::h2o Wed Sep 10 12:12:01 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:12:04 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:12:07 AM EDT 2025:::
:::h2o Wed Sep 10 12:12:10 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:12:13 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:12:16 AM EDT 2025:::
:::h2o Wed Sep 10 12:12:19 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:12:22 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:12:25 AM EDT 2025:::
:::h2o Wed Sep 10 12:12:28 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:12:31 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:12:34 AM EDT 2025:::
:::h2o Wed Sep 10 12:12:37 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:12:40 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:12:43 AM EDT 2025:::
:::h2o Wed Sep 10 12:12:46 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:12:49 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:12:52 AM EDT 2025:::
:::h2o Wed Sep 10 12:12:55 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:12:58 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:13:02 AM EDT 2025:::
:::h2o Wed Sep 10 12:13:05 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:13:08 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:13:11 AM EDT 2025:::
:::h2o Wed Sep 10 12:13:14 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:13:17 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:13:20 AM EDT 2025:::
:::h2o Wed Sep 10 12:13:23 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:13:26 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:13:29 AM EDT 2025:::
:::h2o Wed Sep 10 12:13:32 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:13:35 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:13:38 AM EDT 2025:::
:::h2o Wed Sep 10 12:13:41 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:13:44 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:13:47 AM EDT 2025:::
:::h2o Wed Sep 10 12:13:50 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:13:53 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:13:56 AM EDT 2025:::
:::h2o Wed Sep 10 12:13:59 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:14:02 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:14:05 AM EDT 2025:::
:::h2o Wed Sep 10 12:14:08 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:14:12 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:14:15 AM EDT 2025:::
:::h2o Wed Sep 10 12:14:18 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:14:21 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:14:24 AM EDT 2025:::
:::h2o Wed Sep 10 12:14:27 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:14:30 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:14:33 AM EDT 2025:::
:::h2o Wed Sep 10 12:14:36 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:14:39 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:14:42 AM EDT 2025:::
:::h2o Wed Sep 10 12:14:45 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:14:48 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:14:51 AM EDT 2025:::
:::h2o Wed Sep 10 12:14:54 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:14:57 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:15:00 AM EDT 2025:::
:::h2o Wed Sep 10 12:15:03 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:15:06 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:15:09 AM EDT 2025:::
:::h2o Wed Sep 10 12:15:12 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:15:15 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:15:18 AM EDT 2025:::
:::h2o Wed Sep 10 12:15:21 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:15:24 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:15:28 AM EDT 2025:::
:::h2o Wed Sep 10 12:15:31 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:15:34 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:15:37 AM EDT 2025:::
:::h2o Wed Sep 10 12:15:40 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:15:43 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:15:46 AM EDT 2025:::
:::h2o Wed Sep 10 12:15:49 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:15:52 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:15:55 AM EDT 2025:::
:::h2o Wed Sep 10 12:15:58 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:16:01 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:16:04 AM EDT 2025:::
:::h2o Wed Sep 10 12:16:07 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:16:10 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:16:13 AM EDT 2025:::
:::h2o Wed Sep 10 12:16:16 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:16:19 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:16:22 AM EDT 2025:::
:::h2o Wed Sep 10 12:16:25 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:16:28 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:16:31 AM EDT 2025:::
:::h2o Wed Sep 10 12:16:34 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:16:38 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:16:41 AM EDT 2025:::
:::h2o Wed Sep 10 12:16:44 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:16:47 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:16:50 AM EDT 2025:::
:::h2o Wed Sep 10 12:16:53 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:16:56 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:16:59 AM EDT 2025:::
:::h2o Wed Sep 10 12:17:02 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:17:05 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:17:08 AM EDT 2025:::
:::h2o Wed Sep 10 12:17:11 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:17:14 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:17:17 AM EDT 2025:::
:::h2o Wed Sep 10 12:17:20 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:17:23 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:17:26 AM EDT 2025:::
:::h2o Wed Sep 10 12:17:29 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:17:32 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:17:35 AM EDT 2025:::
:::h2o Wed Sep 10 12:17:38 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:17:41 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:17:44 AM EDT 2025:::
:::h2o Wed Sep 10 12:17:47 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:17:51 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:17:54 AM EDT 2025:::
:::h2o Wed Sep 10 12:17:57 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:18:00 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:18:03 AM EDT 2025:::
:::h2o Wed Sep 10 12:18:06 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:18:09 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:18:12 AM EDT 2025:::
:::h2o Wed Sep 10 12:18:15 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:18:18 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:18:21 AM EDT 2025:::
:::h2o Wed Sep 10 12:18:24 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:18:27 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:18:30 AM EDT 2025:::
:::h2o Wed Sep 10 12:18:33 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:18:36 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:18:39 AM EDT 2025:::
:::h2o Wed Sep 10 12:18:42 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:18:45 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:18:48 AM EDT 2025:::
:::h2o Wed Sep 10 12:18:51 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:18:54 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:18:57 AM EDT 2025:::
:::h2o Wed Sep 10 12:19:01 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:19:04 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:19:07 AM EDT 2025:::
:::h2o Wed Sep 10 12:19:10 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:19:13 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:19:16 AM EDT 2025:::
:::h2o Wed Sep 10 12:19:19 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:19:22 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:19:25 AM EDT 2025:::
:::h2o Wed Sep 10 12:19:28 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:19:31 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:19:34 AM EDT 2025:::
:::h2o Wed Sep 10 12:19:37 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:19:40 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:19:43 AM EDT 2025:::
:::h2o Wed Sep 10 12:19:46 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:19:49 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:19:52 AM EDT 2025:::
:::h2o Wed Sep 10 12:19:55 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:19:58 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:20:01 AM EDT 2025:::
:::h2o Wed Sep 10 12:20:04 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:20:07 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:20:10 AM EDT 2025:::
:::h2o Wed Sep 10 12:20:14 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:20:17 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:20:20 AM EDT 2025:::
:::h2o Wed Sep 10 12:20:23 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:20:26 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:20:29 AM EDT 2025:::
:::h2o Wed Sep 10 12:20:32 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:20:35 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:20:38 AM EDT 2025:::
:::h2o Wed Sep 10 12:20:41 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:20:44 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:20:47 AM EDT 2025:::
:::h2o Wed Sep 10 12:20:50 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:20:53 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:20:56 AM EDT 2025:::
:::h2o Wed Sep 10 12:20:59 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:21:02 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:21:05 AM EDT 2025:::
:::h2o Wed Sep 10 12:21:08 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:21:11 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:21:14 AM EDT 2025:::
:::h2o Wed Sep 10 12:21:17 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:21:20 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:21:23 AM EDT 2025:::
